i x result
1 -1.0000000000000000e+00 -4.4000045776367188e+01
1 -9.8999999999999999e-01 -3.9600036621093750e+01
1 -9.7999999999999998e-01 -3.5933364868164062e+01
1 -9.6999999999999997e-01 -3.2830795288085938e+01
1 -9.5999999999999996e-01 -3.0171401977539062e+01
1 -9.4999999999999996e-01 -2.7866645812988281e+01
1 -9.3999999999999995e-01 -2.5849983215332031e+01
1 -9.3000000000000005e-01 -2.4070579528808594e+01
1 -9.2000000000000004e-01 -2.2488876342773438e+01
1 -9.1000000000000003e-01 -2.1073677062988281e+01
1 -9.0000000000000002e-01 -1.9799995422363281e+01
1 -8.9000000000000001e-01 -1.8647613525390625e+01
1 -8.8000000000000000e-01 -1.7599998474121094e+01
1 -8.7000000000000000e-01 -1.6643470764160156e+01
1 -8.5999999999999999e-01 -1.5766662597656250e+01
1 -8.4999999999999998e-01 -1.4959995269775391e+01
1 -8.3999999999999997e-01 -1.4215381622314453e+01
1 -8.2999999999999996e-01 -1.3525924682617188e+01
1 -8.1999999999999995e-01 -1.2885711669921875e+01
1 -8.1000000000000005e-01 -1.2289653778076172e+01
1 -8.0000000000000004e-01 -1.1733333587646484e+01
1 -7.9000000000000004e-01 -1.1212902069091797e+01
1 -7.8000000000000003e-01 -1.0725002288818359e+01
1 -7.7000000000000002e-01 -1.0266666412353516e+01
1 -7.6000000000000001e-01 -9.8352966308593750e+00
1 -7.5000000000000000e-01 -9.4285736083984375e+00
1 -7.3999999999999999e-01 -9.0444450378417969e+00
1 -7.2999999999999998e-01 -8.6810836791992188e+00
1 -7.1999999999999997e-01 -8.3368453979492188e+00
1 -7.0999999999999996e-01 -8.0102577209472656e+00
1 -6.9999999999999996e-01 -7.7000026702880859e+00
1 -6.8999999999999995e-01 -7.4048805236816406e+00
1 -6.8000000000000005e-01 -7.1238079071044922e+00
1 -6.7000000000000004e-01 -6.8558120727539062e+00
1 -6.6000000000000003e-01 -6.5999984741210938e+00
1 -6.5000000000000002e-01 -6.3555545806884766e+00
1 -6.4000000000000001e-01 -6.1217384338378906e+00
1 -6.3000000000000000e-01 -5.8978729248046875e+00
1 -6.2000000000000000e-01 -5.6833324432373047e+00
1 -6.0999999999999999e-01 -5.4775485992431641e+00
1 -5.9999999999999998e-01 -5.2799987792968750e+00
1 -5.8999999999999997e-01 -5.0901947021484375e+00
1 -5.7999999999999996e-01 -4.9076919555664062e+00
1 -5.6999999999999995e-01 -4.7320747375488281e+00
1 -5.6000000000000005e-01 -4.5629615783691406e+00
1 -5.5000000000000004e-01 -4.3999996185302734e+00
1 -5.4000000000000004e-01 -4.2428569793701172e+00
1 -5.3000000000000003e-01 -4.0912284851074219e+00
1 -5.2000000000000002e-01 -3.9448280334472656e+00
1 -5.1000000000000001e-01 -3.8033895492553711e+00
1 -5.0000000000000000e-01 -3.6666669845581055e+00
1 -4.8999999999999999e-01 -3.5344266891479492e+00
1 -4.7999999999999998e-01 -3.4064521789550781e+00
1 -4.6999999999999997e-01 -3.2825403213500977e+00
1 -4.6000000000000002e-01 -3.1625003814697266e+00
1 -4.5000000000000001e-01 -3.0461549758911133e+00
1 -4.4000000000000000e-01 -2.9333343505859375e+00
1 -4.2999999999999999e-01 -2.8238811492919922e+00
1 -4.1999999999999998e-01 -2.7176475524902344e+00
1 -4.0999999999999998e-01 -2.6144933700561523e+00
1 -4.0000000000000002e-01 -2.5142860412597656e+00
1 -3.9000000000000001e-01 -2.4169015884399414e+00
1 -3.8000000000000000e-01 -2.3222227096557617e+00
1 -3.7000000000000000e-01 -2.2301378250122070e+00
1 -3.5999999999999999e-01 -2.1405410766601562e+00
1 -3.4999999999999998e-01 -2.0533342361450195e+00
1 -3.4000000000000002e-01 -1.9684209823608398e+00
1 -3.3000000000000002e-01 -1.8857145309448242e+00
1 -3.2000000000000001e-01 -1.8051285743713379e+00
1 -3.1000000000000000e-01 -1.7265820503234863e+00
1 -2.9999999999999999e-01 -1.6499996185302734e+00
1 -2.8999999999999998e-01 -1.5753083229064941e+00
1 -2.8000000000000003e-01 -1.5024390220642090e+00
1 -2.7000000000000002e-01 -1.4313254356384277e+00
1 -2.6000000000000001e-01 -1.3619046211242676e+00
1 -2.5000000000000000e-01 -1.2941174507141113e+00
1 -2.3999999999999999e-01 -1.2279071807861328e+00
1 -2.3000000000000001e-01 -1.1632184982299805e+00
1 -2.2000000000000000e-01 -1.1000003814697266e+00
1 -2.0999999999999999e-01 -1.0382022857666016e+00
1 -2.0000000000000001e-01 -9.7777771949768066e-01
1 -1.9000000000000000e-01 -9.1868138313293457e-01
1 -1.7999999999999999e-01 -8.6086964607238770e-01
1 -1.7000000000000001e-01 -8.0430102348327637e-01
1 -1.6000000000000000e-01 -7.4893617630004883e-01
1 -1.4999999999999999e-01 -6.9473671913146973e-01
1 -1.4000000000000001e-01 -6.4166641235351562e-01
1 -1.3000000000000000e-01 -5.8969068527221680e-01
1 -1.2000000000000000e-01 -5.3877544403076172e-01
1 -1.1000000000000000e-01 -4.8888885974884033e-01
1 -1.0000000000000001e-01 -4.3999993801116943e-01
1 -8.9999999999999997e-02 -3.9207923412322998e-01
1 -8.0000000000000002e-02 -3.4509801864624023e-01
1 -7.0000000000000007e-02 -2.9902911186218262e-01
1 -5.9999999999999998e-02 -2.5384616851806641e-01
1 -5.0000000000000003e-02 -2.0952379703521729e-01
1 -4.0000000000000001e-02 -1.6603773832321167e-01
1 -2.9999999999999999e-02 -1.2336447834968567e-01
1 -2.0000000000000000e-02 -8.1481486558914185e-02
1 -1.0000000000000000e-02 -4.0366977453231812e-02
1 0.0000000000000000e+00 0.0000000000000000e+00
1 1.0000000000000000e-02 3.9639651775360107e-02
1 2.0000000000000000e-02 7.8571438789367676e-02
1 2.9999999999999999e-02 1.1681416630744934e-01
1 4.0000000000000001e-02 1.5438598394393921e-01
1 5.0000000000000003e-02 1.9130432605743408e-01
1 5.9999999999999998e-02 2.2758620977401733e-01
1 7.0000000000000007e-02 2.6324784755706787e-01
1 8.0000000000000002e-02 2.9830515384674072e-01
1 8.9999999999999997e-02 3.3277308940887451e-01
1 1.0000000000000001e-01 3.6666667461395264e-01
1 1.1000000000000000e-01 4.0000009536743164e-01
1 1.2000000000000000e-01 4.3278694152832031e-01
1 1.3000000000000000e-01 4.6504068374633789e-01
1 1.4000000000000001e-01 4.9677419662475586e-01
1 1.4999999999999999e-01 5.2799987792968750e-01
1 1.6000000000000000e-01 5.5873036384582520e-01
1 1.7000000000000001e-01 5.8897662162780762e-01
1 1.7999999999999999e-01 6.1875009536743164e-01
1 1.9000000000000000e-01 6.4806199073791504e-01
1 2.0000000000000001e-01 6.7692303657531738e-01
1 2.0999999999999999e-01 7.0534348487854004e-01
1 2.2000000000000000e-01 7.3333358764648438e-01
1 2.3000000000000001e-01 7.6090240478515625e-01
1 2.3999999999999999e-01 7.8805994987487793e-01
1 2.5000000000000000e-01 8.1481456756591797e-01
1 2.6000000000000001e-01 8.4117650985717773e-01
1 2.7000000000000002e-01 8.6715316772460938e-01
1 2.8000000000000003e-01 8.9275360107421875e-01
1 2.8999999999999998e-01 9.1798543930053711e-01
1 2.9999999999999999e-01 9.4285726547241211e-01
1 3.1000000000000000e-01 9.6737551689147949e-01
1 3.2000000000000001e-01 9.9154973030090332e-01
1 3.3000000000000002e-01 1.0153846740722656e+00
1 3.4000000000000002e-01 1.0388894081115723e+00
1 3.4999999999999998e-01 1.0620689392089844e+00
1 3.5999999999999999e-01 1.0849313735961914e+00
1 3.7000000000000000e-01 1.1074829101562500e+00
1 3.8000000000000000e-01 1.1297297477722168e+00
1 3.9000000000000001e-01 1.1516776084899902e+00
1 4.0000000000000002e-01 1.1733331680297852e+00
1 4.0999999999999998e-01 1.1947016716003418e+00
1 4.1999999999999998e-01 1.2157893180847168e+00
1 4.2999999999999999e-01 1.2366008758544922e+00
1 4.4000000000000000e-01 1.2571430206298828e+00
1 4.5000000000000001e-01 1.2774195671081543e+00
1 4.6000000000000002e-01 1.2974357604980469e+00
1 4.6999999999999997e-01 1.3171973228454590e+00
1 4.7999999999999998e-01 1.3367090225219727e+00
1 4.8999999999999999e-01 1.3559746742248535e+00
1 5.0000000000000000e-01 1.3750000000000000e+00
1 5.1000000000000001e-01 1.3937888145446777e+00
1 5.2000000000000002e-01 1.4123454093933105e+00
1 5.3000000000000003e-01 1.4306745529174805e+00
1 5.4000000000000004e-01 1.4487805366516113e+00
1 5.5000000000000004e-01 1.4666666984558105e+00
1 5.6000000000000005e-01 1.4843373298645020e+00
1 5.6999999999999995e-01 1.5017962455749512e+00
1 5.7999999999999996e-01 1.5190472602844238e+00
1 5.8999999999999997e-01 1.5360946655273438e+00
1 5.9999999999999998e-01 1.5529408454895020e+00
1 6.0999999999999999e-01 1.5695905685424805e+00
1 6.2000000000000000e-01 1.5860462188720703e+00
1 6.3000000000000000e-01 1.6023125648498535e+00
1 6.4000000000000001e-01 1.6183910369873047e+00
1 6.5000000000000002e-01 1.6342859268188477e+00
1 6.6000000000000003e-01 1.6500000953674316e+00
1 6.7000000000000004e-01 1.6655368804931641e+00
1 6.8000000000000005e-01 1.6808991432189941e+00
1 6.8999999999999995e-01 1.6960897445678711e+00
1 6.9999999999999996e-01 1.7111110687255859e+00
1 7.0999999999999996e-01 1.7259669303894043e+00
1 7.1999999999999997e-01 1.7406592369079590e+00
1 7.2999999999999998e-01 1.7551913261413574e+00
1 7.3999999999999999e-01 1.7695651054382324e+00
1 7.5000000000000000e-01 1.7837839126586914e+00
1 7.6000000000000001e-01 1.7978491783142090e+00
1 7.7000000000000002e-01 1.8117647171020508e+00
1 7.8000000000000003e-01 1.8255314826965332e+00
1 7.9000000000000004e-01 1.8391537666320801e+00
1 8.0000000000000004e-01 1.8526310920715332e+00
1 8.1000000000000005e-01 1.8659687042236328e+00
