i x result
1 -1.0000000000000000e+00 -4.3998046875000000e+01
1 -9.8999999999999999e-01 -3.9597656250000000e+01
1 -9.7999999999999998e-01 -3.5929687500000000e+01
1 -9.6999999999999997e-01 -3.2828125000000000e+01
1 -9.5999999999999996e-01 -3.0174804687500000e+01
1 -9.4999999999999996e-01 -2.7869140625000000e+01
1 -9.3999999999999995e-01 -2.5851562500000000e+01
1 -9.3000000000000005e-01 -2.4071289062500000e+01
1 -9.2000000000000004e-01 -2.2489257812500000e+01
1 -9.1000000000000003e-01 -2.1073242187500000e+01
1 -9.0000000000000002e-01 -1.9798828125000000e+01
1 -8.9000000000000001e-01 -1.8647460937500000e+01
1 -8.8000000000000000e-01 -1.7598632812500000e+01
1 -8.7000000000000000e-01 -1.6644531250000000e+01
1 -8.5999999999999999e-01 -1.5767089843750000e+01
1 -8.4999999999999998e-01 -1.4960449218750000e+01
1 -8.3999999999999997e-01 -1.4215820312500000e+01
1 -8.2999999999999996e-01 -1.3525878906250000e+01
1 -8.1999999999999995e-01 -1.2885742187500000e+01
1 -8.1000000000000005e-01 -1.2289550781250000e+01
1 -8.0000000000000004e-01 -1.1732910156250000e+01
1 -7.9000000000000004e-01 -1.1212402343750000e+01
1 -7.8000000000000003e-01 -1.0724609375000000e+01
1 -7.7000000000000002e-01 -1.0267089843750000e+01
1 -7.6000000000000001e-01 -9.8359375000000000e+00
1 -7.5000000000000000e-01 -9.4287109375000000e+00
1 -7.3999999999999999e-01 -9.0444335937500000e+00
1 -7.2999999999999998e-01 -8.6811523437500000e+00
1 -7.1999999999999997e-01 -8.3369140625000000e+00
1 -7.0999999999999996e-01 -8.0097656250000000e+00
1 -6.9999999999999996e-01 -7.6999511718750000e+00
1 -6.8999999999999995e-01 -7.4045410156250000e+00
1 -6.8000000000000005e-01 -7.1240234375000000e+00
1 -6.7000000000000004e-01 -6.8562011718750000e+00
1 -6.6000000000000003e-01 -6.6000976562500000e+00
1 -6.5000000000000002e-01 -6.3554687500000000e+00
1 -6.4000000000000001e-01 -6.1218261718750000e+00
1 -6.3000000000000000e-01 -5.8979492187500000e+00
1 -6.2000000000000000e-01 -5.6831054687500000e+00
1 -6.0999999999999999e-01 -5.4772949218750000e+00
1 -5.9999999999999998e-01 -5.2797851562500000e+00
1 -5.8999999999999997e-01 -5.0903320312500000e+00
1 -5.7999999999999996e-01 -4.9077148437500000e+00
1 -5.6999999999999995e-01 -4.7321777343750000e+00
1 -5.6000000000000005e-01 -4.5629882812500000e+00
1 -5.5000000000000004e-01 -4.3999023437500000e+00
1 -5.4000000000000004e-01 -4.2429199218750000e+00
1 -5.3000000000000003e-01 -4.0910644531250000e+00
1 -5.2000000000000002e-01 -3.9447021484375000e+00
1 -5.1000000000000001e-01 -3.8033447265625000e+00
1 -5.0000000000000000e-01 -3.6665039062500000e+00
1 -4.8999999999999999e-01 -3.5343017578125000e+00
1 -4.7999999999999998e-01 -3.4064941406250000e+00
1 -4.6999999999999997e-01 -3.2825927734375000e+00
1 -4.6000000000000002e-01 -3.1625976562500000e+00
1 -4.5000000000000001e-01 -3.0461425781250000e+00
1 -4.4000000000000000e-01 -2.9333496093750000e+00
1 -4.2999999999999999e-01 -2.8239746093750000e+00
1 -4.1999999999999998e-01 -2.7177734375000000e+00
1 -4.0999999999999998e-01 -2.6146240234375000e+00
1 -4.0000000000000002e-01 -2.5142822265625000e+00
1 -3.9000000000000001e-01 -2.4168701171875000e+00
1 -3.8000000000000000e-01 -2.3222656250000000e+00
1 -3.7000000000000000e-01 -2.2301025390625000e+00
1 -3.5999999999999999e-01 -2.1405029296875000e+00
1 -3.4999999999999998e-01 -2.0533447265625000e+00
1 -3.4000000000000002e-01 -1.9683837890625000e+00
1 -3.3000000000000002e-01 -1.8856811523437500e+00
1 -3.2000000000000001e-01 -1.8051147460937500e+00
1 -3.1000000000000000e-01 -1.7265014648437500e+00
1 -2.9999999999999999e-01 -1.6499633789062500e+00
1 -2.8999999999999998e-01 -1.5752563476562500e+00
1 -2.8000000000000003e-01 -1.5024414062500000e+00
1 -2.7000000000000002e-01 -1.4313354492187500e+00
1 -2.6000000000000001e-01 -1.3618774414062500e+00
1 -2.5000000000000000e-01 -1.2941284179687500e+00
1 -2.3999999999999999e-01 -1.2279052734375000e+00
1 -2.3000000000000001e-01 -1.1632690429687500e+00
1 -2.2000000000000000e-01 -1.1000366210937500e+00
1 -2.0999999999999999e-01 -1.0382080078125000e+00
1 -2.0000000000000001e-01 -9.7778320312500000e-01
1 -1.9000000000000000e-01 -9.1870117187500000e-01
1 -1.7999999999999999e-01 -8.6087036132812500e-01
1 -1.7000000000000001e-01 -8.0429077148437500e-01
1 -1.6000000000000000e-01 -7.4893188476562500e-01
1 -1.4999999999999999e-01 -6.9473266601562500e-01
1 -1.4000000000000001e-01 -6.4166259765625000e-01
1 -1.3000000000000000e-01 -5.8969116210937500e-01
1 -1.2000000000000000e-01 -5.3878784179687500e-01
1 -1.1000000000000000e-01 -4.8889160156250000e-01
1 -1.0000000000000001e-01 -4.3998718261718750e-01
1 -8.9999999999999997e-02 -3.9207458496093750e-01
1 -8.0000000000000002e-02 -3.4510803222656250e-01
1 -7.0000000000000007e-02 -2.9902648925781250e-01
1 -5.9999999999999998e-02 -2.5384521484375000e-01
1 -5.0000000000000003e-02 -2.0951843261718750e-01
1 -4.0000000000000001e-02 -1.6604614257812500e-01
1 -2.9999999999999999e-02 -1.2336349487304688e-01
1 -2.0000000000000000e-02 -8.1485748291015625e-02
1 -1.0000000000000000e-02 -4.0367126464843750e-02
1 0.0000000000000000e+00 0.0000000000000000e+00
1 1.0000000000000000e-02 3.9640426635742188e-02
1 2.0000000000000000e-02 7.8571319580078125e-02
1 2.9999999999999999e-02 1.1681365966796875e-01
1 4.0000000000000001e-02 1.5438842773437500e-01
1 5.0000000000000003e-02 1.9129943847656250e-01
1 5.9999999999999998e-02 2.2757720947265625e-01
1 7.0000000000000007e-02 2.6324462890625000e-01
1 8.0000000000000002e-02 2.9830932617187500e-01
1 8.9999999999999997e-02 3.3277893066406250e-01
1 1.0000000000000001e-01 3.6666870117187500e-01
1 1.1000000000000000e-01 4.0000915527343750e-01
1 1.2000000000000000e-01 4.3278503417968750e-01
1 1.3000000000000000e-01 4.6504211425781250e-01
1 1.4000000000000001e-01 4.9678039550781250e-01
1 1.4999999999999999e-01 5.2801513671875000e-01
1 1.6000000000000000e-01 5.5874633789062500e-01
1 1.7000000000000001e-01 5.8895874023437500e-01
1 1.7999999999999999e-01 6.1874389648437500e-01
1 1.9000000000000000e-01 6.4807128906250000e-01
1 2.0000000000000001e-01 6.7691040039062500e-01
1 2.0999999999999999e-01 7.0532226562500000e-01
1 2.2000000000000000e-01 7.3333740234375000e-01
1 2.3000000000000001e-01 7.6089477539062500e-01
1 2.3999999999999999e-01 7.8805541992187500e-01
1 2.5000000000000000e-01 8.1478881835937500e-01
1 2.6000000000000001e-01 8.4115600585937500e-01
1 2.7000000000000002e-01 8.6715698242187500e-01
1 2.8000000000000003e-01 8.9276123046875000e-01
1 2.8999999999999998e-01 9.1793823242187500e-01
1 2.9999999999999999e-01 9.4287109375000000e-01
1 3.1000000000000000e-01 9.6737670898437500e-01
1 3.2000000000000001e-01 9.9157714843750000e-01
1 3.3000000000000002e-01 1.0153808593750000e+00
1 3.4000000000000002e-01 1.0388793945312500e+00
1 3.4999999999999998e-01 1.0620727539062500e+00
1 3.5999999999999999e-01 1.0849609375000000e+00
1 3.7000000000000000e-01 1.1074829101562500e+00
1 3.8000000000000000e-01 1.1297607421875000e+00
1 3.9000000000000001e-01 1.1516723632812500e+00
1 4.0000000000000002e-01 1.1732788085937500e+00
1 4.0999999999999998e-01 1.1947021484375000e+00
1 4.1999999999999998e-01 1.2157592773437500e+00
1 4.2999999999999999e-01 1.2365722656250000e+00
1 4.4000000000000000e-01 1.2571411132812500e+00
1 4.5000000000000001e-01 1.2774658203125000e+00
1 4.6000000000000002e-01 1.2974243164062500e+00
1 4.6999999999999997e-01 1.3171997070312500e+00
1 4.7999999999999998e-01 1.3366699218750000e+00
1 4.8999999999999999e-01 1.3560180664062500e+00
