i x result
1 -1.0000000000000000e+00 -4.3999633789062500e+01
1 -9.8999999999999999e-01 -3.9599853515625000e+01
1 -9.7999999999999998e-01 -3.5933349609375000e+01
1 -9.6999999999999997e-01 -3.2830932617187500e+01
1 -9.5999999999999996e-01 -3.0171203613281250e+01
1 -9.4999999999999996e-01 -2.7866638183593750e+01
1 -9.3999999999999995e-01 -2.5850036621093750e+01
1 -9.3000000000000005e-01 -2.4070678710937500e+01
1 -9.2000000000000004e-01 -2.2488769531250000e+01
1 -9.1000000000000003e-01 -2.1073669433593750e+01
1 -9.0000000000000002e-01 -1.9799987792968750e+01
1 -8.9000000000000001e-01 -1.8647644042968750e+01
1 -8.8000000000000000e-01 -1.7599914550781250e+01
1 -8.7000000000000000e-01 -1.6643493652343750e+01
1 -8.5999999999999999e-01 -1.5766693115234375e+01
1 -8.4999999999999998e-01 -1.4960052490234375e+01
1 -8.3999999999999997e-01 -1.4215332031250000e+01
1 -8.2999999999999996e-01 -1.3525909423828125e+01
1 -8.1999999999999995e-01 -1.2885711669921875e+01
1 -8.1000000000000005e-01 -1.2289672851562500e+01
1 -8.0000000000000004e-01 -1.1733306884765625e+01
1 -7.9000000000000004e-01 -1.1212921142578125e+01
1 -7.8000000000000003e-01 -1.0725006103515625e+01
1 -7.7000000000000002e-01 -1.0266693115234375e+01
1 -7.6000000000000001e-01 -9.8352661132812500e+00
1 -7.5000000000000000e-01 -9.4285583496093750e+00
1 -7.3999999999999999e-01 -9.0444641113281250e+00
1 -7.2999999999999998e-01 -8.6810913085937500e+00
1 -7.1999999999999997e-01 -8.3368225097656250e+00
1 -7.0999999999999996e-01 -8.0102539062500000e+00
1 -6.9999999999999996e-01 -7.7000122070312500e+00
1 -6.8999999999999995e-01 -7.4049072265625000e+00
1 -6.8000000000000005e-01 -7.1237945556640625e+00
1 -6.7000000000000004e-01 -6.8558197021484375e+00
1 -6.6000000000000003e-01 -6.6000061035156250e+00
1 -6.5000000000000002e-01 -6.3555603027343750e+00
1 -6.4000000000000001e-01 -6.1217193603515625e+00
1 -6.3000000000000000e-01 -5.8978576660156250e+00
1 -6.2000000000000000e-01 -5.6833496093750000e+00
1 -6.0999999999999999e-01 -5.4775695800781250e+00
1 -5.9999999999999998e-01 -5.2799987792968750e+00
1 -5.8999999999999997e-01 -5.0901947021484375e+00
1 -5.7999999999999996e-01 -4.9076995849609375e+00
1 -5.6999999999999995e-01 -4.7320861816406250e+00
1 -5.6000000000000005e-01 -4.5629577636718750e+00
1 -5.5000000000000004e-01 -4.3999938964843750e+00
1 -5.4000000000000004e-01 -4.2428741455078125e+00
1 -5.3000000000000003e-01 -4.0912475585937500e+00
1 -5.2000000000000002e-01 -3.9448242187500000e+00
1 -5.1000000000000001e-01 -3.8033905029296875e+00
1 -5.0000000000000000e-01 -3.6666564941406250e+00
1 -4.8999999999999999e-01 -3.5344161987304688e+00
1 -4.7999999999999998e-01 -3.4064483642578125e+00
1 -4.6999999999999997e-01 -3.2825393676757812e+00
1 -4.6000000000000002e-01 -3.1625061035156250e+00
