i x result
1 -5.1000000000000001e-01 -3.8033900260925293e+00
1 -5.0000000000000000e-01 -3.6666669845581055e+00
1 -4.8999999999999999e-01 -3.5344262123107910e+00
1 -4.7999999999999998e-01 -3.4064514636993408e+00
1 -4.6999999999999997e-01 -3.2825398445129395e+00
1 -4.6000000000000002e-01 -3.1624999046325684e+00
1 -4.5000000000000001e-01 -3.0461535453796387e+00
1 -4.4000000000000000e-01 -2.9333331584930420e+00
1 -4.2999999999999999e-01 -2.8238806724548340e+00
1 -4.1999999999999998e-01 -2.7176468372344971e+00
1 -4.0999999999999998e-01 -2.6144926548004150e+00
1 -4.0000000000000002e-01 -2.5142858028411865e+00
1 -3.9000000000000001e-01 -2.4169013500213623e+00
1 -3.8000000000000000e-01 -2.3222222328186035e+00
1 -3.7000000000000000e-01 -2.2301371097564697e+00
1 -3.5999999999999999e-01 -2.1405405998229980e+00
1 -3.4999999999999998e-01 -2.0533332824707031e+00
1 -3.4000000000000002e-01 -1.9684211015701294e+00
1 -3.3000000000000002e-01 -1.8857144117355347e+00
1 -3.2000000000000001e-01 -1.8051280975341797e+00
1 -3.1000000000000000e-01 -1.7265821695327759e+00
1 -2.9999999999999999e-01 -1.6499999761581421e+00
1 -2.8999999999999998e-01 -1.5753085613250732e+00
1 -2.8000000000000003e-01 -1.5024390220642090e+00
1 -2.7000000000000002e-01 -1.4313253164291382e+00
1 -2.6000000000000001e-01 -1.3619047403335571e+00
1 -2.5000000000000000e-01 -1.2941176891326904e+00
1 -2.3999999999999999e-01 -1.2279069423675537e+00
1 -2.3000000000000001e-01 -1.1632183790206909e+00
1 -2.2000000000000000e-01 -1.1000000238418579e+00
1 -2.0999999999999999e-01 -1.0382021665573120e+00
1 -2.0000000000000001e-01 -9.7777777910232544e-01
1 -1.9000000000000000e-01 -9.1868132352828979e-01
1 -1.7999999999999999e-01 -8.6086958646774292e-01
1 -1.7000000000000001e-01 -8.0430108308792114e-01
1 -1.6000000000000000e-01 -7.4893611669540405e-01
1 -1.4999999999999999e-01 -6.9473683834075928e-01
1 -1.4000000000000001e-01 -6.4166665077209473e-01
1 -1.3000000000000000e-01 -5.8969068527221680e-01
1 -1.2000000000000000e-01 -5.3877550363540649e-01
1 -1.1000000000000000e-01 -4.8888888955116272e-01
1 -1.0000000000000001e-01 -4.4000002741813660e-01
1 -8.9999999999999997e-02 -3.9207920432090759e-01
1 -8.0000000000000002e-02 -3.4509801864624023e-01
1 -7.0000000000000007e-02 -2.9902914166450500e-01
1 -5.9999999999999998e-02 -2.5384613871574402e-01
1 -5.0000000000000003e-02 -2.0952381193637848e-01
1 -4.0000000000000001e-02 -1.6603773832321167e-01
1 -2.9999999999999999e-02 -1.2336447834968567e-01
1 -2.0000000000000000e-02 -8.1481479108333588e-02
1 -1.0000000000000000e-02 -4.0366970002651215e-02
1 0.0000000000000000e+00 0.0000000000000000e+00
1 1.0000000000000000e-02 3.9639640599489212e-02
1 2.0000000000000000e-02 7.8571431338787079e-02
1 2.9999999999999999e-02 1.1681415885686874e-01
1 4.0000000000000001e-02 1.5438596904277802e-01
1 5.0000000000000003e-02 1.9130435585975647e-01
1 5.9999999999999998e-02 2.2758620977401733e-01
1 7.0000000000000007e-02 2.6324787735939026e-01
1 8.0000000000000002e-02 2.9830506443977356e-01
1 8.9999999999999997e-02 3.3277311921119690e-01
1 1.0000000000000001e-01 3.6666667461395264e-01
1 1.1000000000000000e-01 3.9999997615814209e-01
1 1.2000000000000000e-01 4.3278688192367554e-01
1 1.3000000000000000e-01 4.6504062414169312e-01
1 1.4000000000000001e-01 4.9677419662475586e-01
1 1.4999999999999999e-01 5.2799999713897705e-01
1 1.6000000000000000e-01 5.5873018503189087e-01
1 1.7000000000000001e-01 5.8897638320922852e-01
1 1.7999999999999999e-01 6.1875003576278687e-01
1 1.9000000000000000e-01 6.4806205034255981e-01
1 2.0000000000000001e-01 6.7692303657531738e-01
1 2.0999999999999999e-01 7.0534348487854004e-01
1 2.2000000000000000e-01 7.3333328962326050e-01
1 2.3000000000000001e-01 7.6090222597122192e-01
1 2.3999999999999999e-01 7.8805965185165405e-01
1 2.5000000000000000e-01 8.1481480598449707e-01
1 2.6000000000000001e-01 8.4117645025253296e-01
1 2.7000000000000002e-01 8.6715328693389893e-01
1 2.8000000000000003e-01 8.9275360107421875e-01
1 2.8999999999999998e-01 9.1798561811447144e-01
1 2.9999999999999999e-01 9.4285720586776733e-01
1 3.1000000000000000e-01 9.6737593412399292e-01
1 3.2000000000000001e-01 9.9154931306838989e-01
