i x result
1 -1.6000000000000000e-01 -7.4902343750000000e-01
1 -1.4999999999999999e-01 -6.9482421875000000e-01
1 -1.4000000000000001e-01 -6.4208984375000000e-01
1 -1.3000000000000000e-01 -5.8984375000000000e-01
1 -1.2000000000000000e-01 -5.3857421875000000e-01
1 -1.1000000000000000e-01 -4.8876953125000000e-01
1 -1.0000000000000001e-01 -4.3994140625000000e-01
1 -8.9999999999999997e-02 -3.9233398437500000e-01
1 -8.0000000000000002e-02 -3.4521484375000000e-01
1 -7.0000000000000007e-02 -2.9907226562500000e-01
1 -5.9999999999999998e-02 -2.5390625000000000e-01
1 -5.0000000000000003e-02 -2.0947265625000000e-01
1 -4.0000000000000001e-02 -1.6601562500000000e-01
1 -2.9999999999999999e-02 -1.2335205078125000e-01
1 -2.0000000000000000e-02 -8.1481933593750000e-02
1 -1.0000000000000000e-02 -4.0374755859375000e-02
1 0.0000000000000000e+00 0.0000000000000000e+00
1 1.0000000000000000e-02 3.9672851562500000e-02
1 2.0000000000000000e-02 7.8552246093750000e-02
1 2.9999999999999999e-02 1.1682128906250000e-01
1 4.0000000000000001e-02 1.5441894531250000e-01
1 5.0000000000000003e-02 1.9116210937500000e-01
1 5.9999999999999998e-02 2.2753906250000000e-01
1 7.0000000000000007e-02 2.6342773437500000e-01
1 8.0000000000000002e-02 2.9858398437500000e-01
1 8.9999999999999997e-02 3.3276367187500000e-01
1 1.0000000000000001e-01 3.6669921875000000e-01
1 1.1000000000000000e-01 4.0014648437500000e-01
1 1.2000000000000000e-01 4.3261718750000000e-01
1 1.3000000000000000e-01 4.6508789062500000e-01
1 1.4000000000000001e-01 4.9707031250000000e-01
1 1.4999999999999999e-01 5.2783203125000000e-01
1 1.6000000000000000e-01 5.5859375000000000e-01
1 1.7000000000000001e-01 5.8935546875000000e-01
1 1.7999999999999999e-01 6.1865234375000000e-01
1 1.9000000000000000e-01 6.4794921875000000e-01
1 2.0000000000000001e-01 6.7675781250000000e-01
1 2.0999999999999999e-01 7.0507812500000000e-01
1 2.2000000000000000e-01 7.3291015625000000e-01
1 2.3000000000000001e-01 7.6074218750000000e-01
1 2.3999999999999999e-01 7.8808593750000000e-01
1 2.5000000000000000e-01 8.1445312500000000e-01
1 2.6000000000000001e-01 8.4130859375000000e-01
1 2.7000000000000002e-01 8.6767578125000000e-01
1 2.8000000000000003e-01 8.9257812500000000e-01
1 2.8999999999999998e-01 9.1796875000000000e-01
1 2.9999999999999999e-01 9.4335937500000000e-01
1 3.1000000000000000e-01 9.6777343750000000e-01
1 3.2000000000000001e-01 9.9169921875000000e-01
1 3.3000000000000002e-01 1.0156250000000000e+00
1 3.4000000000000002e-01 1.0400390625000000e+00
1 3.4999999999999998e-01 1.0625000000000000e+00
1 3.5999999999999999e-01 1.0849609375000000e+00
1 3.7000000000000000e-01 1.1083984375000000e+00
