i x result
1 7.7000000000000002e-01 1.8117647171020508e+00
1 7.8000000000000003e-01 1.8255317211151123e+00
1 7.9000000000000004e-01 1.8391532897949219e+00
1 8.0000000000000004e-01 1.8526313304901123e+00
1 8.1000000000000005e-01 1.8659684658050537e+00
1 8.1999999999999995e-01 1.8791668415069580e+00
1 8.2999999999999996e-01 1.8922281265258789e+00
1 8.3999999999999997e-01 1.9051547050476074e+00
1 8.4999999999999998e-01 1.9179487228393555e+00
1 8.5999999999999999e-01 1.9306123256683350e+00
1 8.7000000000000000e-01 1.9431471824645996e+00
1 8.8000000000000000e-01 1.9555556774139404e+00
1 8.9000000000000001e-01 1.9678392410278320e+00
1 9.0000000000000002e-01 1.9799997806549072e+00
1 9.1000000000000003e-01 1.9920394420623779e+00
1 9.2000000000000004e-01 2.0039601325988770e+00
1 9.3000000000000005e-01 2.0157632827758789e+00
1 9.3999999999999995e-01 2.0274510383605957e+00
1 9.4999999999999996e-01 2.0390243530273438e+00
1 9.5999999999999996e-01 2.0504856109619141e+00
1 9.6999999999999997e-01 2.0618357658386230e+00
1 9.7999999999999998e-01 2.0730767250061035e+00
1 9.8999999999999999e-01 2.0842103958129883e+00
1 1.0000000000000000e+00 2.0952382087707520e+00
