i x t
13 5.0700003e-01 -3.5263416e-01
14 5.0700003e-01 -3.5348475e-01
15 5.0700003e-01 -3.5397038e-01
16 5.0700003e-01 -3.5526398e-01
17 5.0700003e-01 -3.5535416e-01
18 5.0700003e-01 -3.5435522e-01
19 5.0700003e-01 -3.5499388e-01
20 5.0700003e-01 -3.5412350e-01
1 5.0800002e-01 -3.2879710e-01
2 5.0800002e-01 -3.3317855e-01
3 5.0800002e-01 -3.3008495e-01
4 5.0800002e-01 -3.3078581e-01
5 5.0800002e-01 -3.3303457e-01
6 5.0800002e-01 -3.3166870e-01
7 5.0800002e-01 -3.3014056e-01
8 5.0800002e-01 -3.3208120e-01
9 5.0800002e-01 -3.3310425e-01
10 5.0800002e-01 -3.3167472e-01
11 5.0800002e-01 -3.3061761e-01
12 5.0800002e-01 -3.3257538e-01
13 5.0800002e-01 -3.3256814e-01
14 5.0800002e-01 -3.3217028e-01
15 5.0800002e-01 -3.3225393e-01
16 5.0800002e-01 -3.3204693e-01
17 5.0800002e-01 -3.3126381e-01
18 5.0800002e-01 -3.3210865e-01
19 5.0800002e-01 -3.3156574e-01
20 5.0800002e-01 -3.3156860e-01
1 5.0900000e-01 -3.1022885e-01
2 5.0900000e-01 -3.1108534e-01
3 5.0900000e-01 -3.0876762e-01
4 5.0900000e-01 -3.1070089e-01
5 5.0900000e-01 -3.0937517e-01
6 5.0900000e-01 -3.1084728e-01
7 5.0900000e-01 -3.1138238e-01
8 5.0900000e-01 -3.1066522e-01
9 5.0900000e-01 -3.1061804e-01
10 5.0900000e-01 -3.1066316e-01
11 5.0900000e-01 -3.0900821e-01
12 5.0900000e-01 -3.1056282e-01
13 5.0900000e-01 -3.1037083e-01
14 5.0900000e-01 -3.1137982e-01
15 5.0900000e-01 -3.0922106e-01
16 5.0900000e-01 -3.1085208e-01
17 5.0900000e-01 -3.1182659e-01
18 5.0900000e-01 -3.1071094e-01
19 5.0900000e-01 -3.1148803e-01
20 5.0900000e-01 -3.1209359e-01
1 5.0999999e-01 -2.8821760e-01
2 5.0999999e-01 -2.8761598e-01
3 5.0999999e-01 -2.8865466e-01
4 5.0999999e-01 -2.8900424e-01
5 5.0999999e-01 -2.8838849e-01
6 5.0999999e-01 -2.8660789e-01
7 5.0999999e-01 -2.8824112e-01
8 5.0999999e-01 -2.8903282e-01
9 5.0999999e-01 -2.8786597e-01
