i x t
1 5.4300000000000004e-01 -2.6386718750000000e+00
1 5.4400000000000004e-01 2.6035156250000000e+00
1 5.4500000000000004e-01 -2.5195312500000000e-01
1 5.4600000000000004e-01 1.4355468750000000e+00
1 5.4700000000000004e-01 -2.3164062500000000e+00
1 5.4800000000000004e-01 1.2304687500000000e-01
1 5.4900000000000004e-01 -2.2441406250000000e+00
1 5.5000000000000004e-01 2.0488281250000000e+00
1 5.5100000000000005e-01 -6.5429687500000000e-01
1 5.5200000000000005e-01 2.0214843750000000e+00
1 5.5300000000000005e-01 1.4824218750000000e+00
1 5.5400000000000005e-01 1.9140625000000000e-01
1 5.5500000000000005e-01 3.7304687500000000e+00
1 5.5600000000000005e-01 1.9218750000000000e+00
1 5.5700000000000005e-01 1.1523437500000000e+00
1 5.5800000000000005e-01 -2.4570312500000000e+00
1 5.5900000000000005e-01 -1.5351562500000000e+00
1 5.6000000000000005e-01 -3.4375000000000000e-01
1 5.6100000000000005e-01 -1.4375000000000000e+00
1 5.6200000000000006e-01 -2.4375000000000000e+00
1 5.6299999999999994e-01 3.4140625000000000e+00
1 5.6399999999999995e-01 5.6640625000000000e-01
1 5.6499999999999995e-01 3.7187500000000000e+00
1 5.6599999999999995e-01 4.3398437500000000e+00
1 5.6699999999999995e-01 -3.1171875000000000e+00
1 5.6799999999999995e-01 1.5039062500000000e+00
1 5.6899999999999995e-01 2.6953125000000000e+00
1 5.6999999999999995e-01 3.1250000000000000e+00
1 5.7099999999999995e-01 -3.1054687500000000e+00
1 5.7199999999999995e-01 -2.1953125000000000e+00
1 5.7299999999999995e-01 4.3281250000000000e+00
1 5.7399999999999995e-01 -1.3242187500000000e+00
1 5.7499999999999996e-01 2.2265625000000000e+00
1 5.7599999999999996e-01 4.7265625000000000e+00
1 5.7699999999999996e-01 -2.7031250000000000e+00
1 5.7799999999999996e-01 -5.9453125000000000e+00
1 5.7899999999999996e-01 -4.7343750000000000e+00
1 5.7999999999999996e-01 -3.7734375000000000e+00
1 5.8099999999999996e-01 -3.9843750000000000e-01
1 5.8199999999999996e-01 -1.6015625000000000e+00
1 5.8299999999999996e-01 3.6562500000000000e+00
1 5.8399999999999996e-01 1.4218750000000000e+00
1 5.8499999999999996e-01 2.5703125000000000e+00
1 5.8599999999999997e-01 -2.7500000000000000e+00
1 5.8699999999999997e-01 5.4531250000000000e+00
1 5.8799999999999997e-01 -2.0937500000000000e+00
1 5.8899999999999997e-01 9.4843750000000000e+00
1 5.8999999999999997e-01 -3.1640625000000000e+00
1 5.9099999999999997e-01 3.0703125000000000e+00
1 5.9199999999999997e-01 3.1953125000000000e+00
1 5.9299999999999997e-01 -4.0000000000000000e+00
1 5.9399999999999997e-01 -1.3359375000000000e+00
1 5.9499999999999997e-01 4.4531250000000000e+00
1 5.9599999999999997e-01 1.5312500000000000e+00
1 5.9699999999999998e-01 1.8593750000000000e+00
1 5.9799999999999998e-01 1.1875000000000000e+00
1 5.9899999999999998e-01 -3.4218750000000000e+00
1 5.9999999999999998e-01 6.4531250000000000e+00
1 6.0099999999999998e-01 4.2656250000000000e+00
1 6.0199999999999998e-01 -5.3437500000000000e+00
1 6.0299999999999998e-01 -5.6093750000000000e+00
1 6.0399999999999998e-01 2.3437500000000000e+00
1 6.0499999999999998e-01 1.0093750000000000e+01
1 6.0599999999999998e-01 -7.4062500000000000e+00
1 6.0699999999999998e-01 3.4062500000000000e+00
1 6.0799999999999998e-01 5.2187500000000000e+00
1 6.0899999999999999e-01 2.0468750000000000e+00
1 6.0999999999999999e-01 -2.3437500000000000e+00
1 6.1099999999999999e-01 -5.2187500000000000e+00
1 6.1199999999999999e-01 -5.3125000000000000e+00
1 6.1299999999999999e-01 7.9218750000000000e+00
1 6.1399999999999999e-01 7.6250000000000000e+00
1 6.1499999999999999e-01 4.3906250000000000e+00
1 6.1599999999999999e-01 -8.5937500000000000e+00
1 6.1699999999999999e-01 1.1937500000000000e+01
1 6.1799999999999999e-01 -1.7187500000000000e+00
1 6.1899999999999999e-01 -3.5937500000000000e+00
1 6.2000000000000000e-01 2.8437500000000000e+00
1 6.2100000000000000e-01 7.5000000000000000e-01
1 6.2200000000000000e-01 3.2500000000000000e+00
1 6.2300000000000000e-01 -3.7500000000000000e+00
1 6.2400000000000000e-01 5.3125000000000000e-01
1 6.2500000000000000e-01 -4.1250000000000000e+00
1 6.2600000000000000e-01 -7.7812500000000000e+00
1 6.2700000000000000e-01 -6.8437500000000000e+00
1 6.2800000000000000e-01 1.6250000000000000e+00
