i x t
20 7.0000000e-02 1.6883779e-01
1 7.9999998e-02 -3.0910287e-02
2 7.9999998e-02 -3.0910438e-02
3 7.9999998e-02 -3.0910144e-02
4 7.9999998e-02 -3.0910471e-02
5 7.9999998e-02 -3.0910196e-02
6 7.9999998e-02 -3.0910395e-02
7 7.9999998e-02 -3.0910239e-02
8 7.9999998e-02 -3.0910371e-02
9 7.9999998e-02 -3.0910343e-02
10 7.9999998e-02 -3.0910356e-02
11 7.9999998e-02 -3.0910259e-02
12 7.9999998e-02 -3.0910509e-02
13 7.9999998e-02 -3.0910211e-02
14 7.9999998e-02 -3.0910281e-02
15 7.9999998e-02 -3.0910473e-02
16 7.9999998e-02 -3.0910227e-02
17 7.9999998e-02 -3.0910274e-02
18 7.9999998e-02 -3.0910201e-02
19 7.9999998e-02 -3.0910473e-02
20 7.9999998e-02 -3.0910296e-02
1 9.0000004e-02 -2.2957653e-01
2 9.0000004e-02 -2.2957651e-01
3 9.0000004e-02 -2.2957629e-01
4 9.0000004e-02 -2.2957662e-01
5 9.0000004e-02 -2.2957660e-01
6 9.0000004e-02 -2.2957668e-01
7 9.0000004e-02 -2.2957662e-01
8 9.0000004e-02 -2.2957672e-01
9 9.0000004e-02 -2.2957668e-01
10 9.0000004e-02 -2.2957654e-01
11 9.0000004e-02 -2.2957654e-01
12 9.0000004e-02 -2.2957666e-01
13 9.0000004e-02 -2.2957663e-01
14 9.0000004e-02 -2.2957659e-01
15 9.0000004e-02 -2.2957653e-01
16 9.0000004e-02 -2.2957656e-01
17 9.0000004e-02 -2.2957662e-01
18 9.0000004e-02 -2.2957680e-01
19 9.0000004e-02 -2.2957662e-01
20 9.0000004e-02 -2.2957650e-01
1 1.0000000e-01 -4.1918921e-01
2 1.0000000e-01 -4.1918916e-01
3 1.0000000e-01 -4.1918921e-01
4 1.0000000e-01 -4.1918918e-01
5 1.0000000e-01 -4.1918901e-01
6 1.0000000e-01 -4.1918957e-01
7 1.0000000e-01 -4.1918907e-01
8 1.0000000e-01 -4.1918904e-01
9 1.0000000e-01 -4.1918895e-01
10 1.0000000e-01 -4.1918916e-01
11 1.0000000e-01 -4.1918907e-01
12 1.0000000e-01 -4.1918904e-01
13 1.0000000e-01 -4.1918901e-01
14 1.0000000e-01 -4.1918916e-01
15 1.0000000e-01 -4.1918945e-01
16 1.0000000e-01 -4.1918918e-01
17 1.0000000e-01 -4.1918957e-01
18 1.0000000e-01 -4.1918913e-01
19 1.0000000e-01 -4.1918930e-01
20 1.0000000e-01 -4.1918898e-01
1 1.1000000e-01 -5.9210211e-01
2 1.1000000e-01 -5.9210199e-01
3 1.1000000e-01 -5.9210187e-01
4 1.1000000e-01 -5.9210199e-01
5 1.1000000e-01 -5.9210217e-01
6 1.1000000e-01 -5.9210211e-01
7 1.1000000e-01 -5.9210205e-01
8 1.1000000e-01 -5.9210205e-01
9 1.1000000e-01 -5.9210211e-01
10 1.1000000e-01 -5.9210169e-01
11 1.1000000e-01 -5.9210163e-01
12 1.1000000e-01 -5.9210175e-01
13 1.1000000e-01 -5.9210205e-01
14 1.1000000e-01 -5.9210205e-01
15 1.1000000e-01 -5.9210175e-01
16 1.1000000e-01 -5.9210187e-01
17 1.1000000e-01 -5.9210193e-01
18 1.1000000e-01 -5.9210187e-01
19 1.1000000e-01 -5.9210193e-01
20 1.1000000e-01 -5.9210223e-01
1 1.2000000e-01 -7.4129713e-01
2 1.2000000e-01 -7.4129742e-01
3 1.2000000e-01 -7.4129772e-01
4 1.2000000e-01 -7.4129701e-01
5 1.2000000e-01 -7.4129766e-01
6 1.2000000e-01 -7.4129695e-01
7 1.2000000e-01 -7.4129707e-01
8 1.2000000e-01 -7.4129754e-01
9 1.2000000e-01 -7.4129730e-01
10 1.2000000e-01 -7.4129736e-01
11 1.2000000e-01 -7.4129742e-01
12 1.2000000e-01 -7.4129778e-01
13 1.2000000e-01 -7.4129772e-01
14 1.2000000e-01 -7.4129736e-01
15 1.2000000e-01 -7.4129719e-01
16 1.2000000e-01 -7.4129742e-01
17 1.2000000e-01 -7.4129730e-01
18 1.2000000e-01 -7.4129736e-01
19 1.2000000e-01 -7.4129742e-01
20 1.2000000e-01 -7.4129742e-01
1 1.3000000e-01 -8.6066943e-01
2 1.3000000e-01 -8.6066943e-01
3 1.3000000e-01 -8.6066926e-01
4 1.3000000e-01 -8.6066985e-01
5 1.3000000e-01 -8.6066931e-01
6 1.3000000e-01 -8.6066967e-01
7 1.3000000e-01 -8.6066943e-01
8 1.3000000e-01 -8.6066931e-01
9 1.3000000e-01 -8.6066902e-01
10 1.3000000e-01 -8.6066955e-01
11 1.3000000e-01 -8.6066931e-01
12 1.3000000e-01 -8.6066937e-01
13 1.3000000e-01 -8.6066979e-01
14 1.3000000e-01 -8.6066955e-01
15 1.3000000e-01 -8.6066967e-01
16 1.3000000e-01 -8.6066949e-01
